country,x,y
Algeria,-91,157
Angola,-15,-57
Benin,-89,58
Botswana,39,-125
Burkina Faso,-113,75
Burundi,66,-18
Cabo Verde,-220,138
Cameroon,-34,30
Central African Republic,16,40
Chad,7,84
Comoros,150,-67
Congo,-14,0
Cote d'Ivoire,-135,36
Democratic Republic Of Congo,33,-11
Djibouti,138,66
Egypt,56,150
Equatorial Guinea,-44,8
Eritrea,112,90
Ethiopia,123,58
Gabon,-42,-4
Gambia,-195,76
Ghana,-111,42
Guinea,-160,61
Guinea-Bissau,-190,69
Kenya,113,-2
Lesotho,59,-176
Liberia,-157,36
Libya,-17,162
Madagascar,162,-110
Malawi,91,-77
Mali,-123,107
Mauritania,-159,112
Mauritius,209,-118
Morocco,-135,199
Mozambique,114,-84
Namibia,-9,-139
Niger,-46,101
Nigeria,-63,56
Rwanda,68,-10
Sao Tome and Principe,-63,1
Senegal,-187,90
Seychelles,167,-51
Sierra Leone,-172,48
Somalia,146,16
South Africa,30,-173
South Sudan,69,39
Sudan,69,88
Swaziland,77,-157
Tanzania,95,-36
Togo,-96,47
Tunisia,-48,200
Uganda,84,14
Western Sahara,-185,141
Zambia,47,-82
Zimbabwe,72,-115
